,label,mean,median,q1,q3,std,skew,kurt
69,69,1451.0155110896817,1410.0,1125.0,1741.0,632.5422663147071,1.2081868434380818,9.013314489236755
70,70,1524.0746528447444,1505.0,1220.0,1804.0,615.4846565865722,1.085462601998322,9.260012540813507
71,71,1596.0372516875602,1604.0,1296.0,1885.0,603.3316816734103,0.9004942586990012,9.153415861957543
72,72,1671.8977675988428,1700.0,1369.0,1982.0,597.0528250325074,0.6668622304823675,8.590533996443485
73,73,1753.4917068466732,1793.0,1430.75,2083.0,605.3464338178967,0.43334125726601413,7.548608536343917
74,74,1835.79012536162,1878.0,1479.0,2189.0,629.3872639987114,0.2751592282318309,6.38471360090005
75,75,1922.294619093539,1961.0,1526.0,2303.0,667.0153593526304,0.2087976741158322,5.402188303481173
76,76,1996.5546865959498,2024.0,1562.0,2402.0,708.786587475437,0.20902820745393022,4.689480521082236
77,77,2063.418556770622,2076.0,1594.0,2489.0,749.9712789454688,0.2488045805242277,4.2818646581469295
78,78,2114.13763524851,2111.0,1617.0,2551.0,785.0848765152443,0.30640905195073803,4.076911226343191
79,79,2155.314480510714,2139.0,1637.0,2599.0,814.4160901848019,0.36030670362655604,3.9684962243244097
80,80,2194.4581669848985,2167.0,1657.0,2645.0,840.0295268048353,0.4039730342260726,3.9085458015875707
81,81,2216.6078853979825,2180.0,1666.0,2674.0,856.5569638253443,0.44100814841358355,3.875041468589822
82,82,2212.345323047252,2168.0,1661.0,2669.0,852.4926709542326,0.47275661724168994,3.8633241516165984
83,83,2193.142757955641,2154.0,1665.0,2625.0,820.7338995220084,0.47493051455936286,3.9196030005995417
84,84,2210.44637415622,2181.0,1677.0,2638.0,830.3384351707209,0.4563372001689954,3.892304230093106
85,85,2232.4492859140396,2203.0,1681.0,2675.0,856.1028515158379,0.4508164488702855,3.836447198849837
86,86,2245.3591631468303,2215.0,1684.0,2698.0,869.5544782986929,0.45140598087301365,3.8087997655747436
87,87,2245.85003085884,2216.0,1682.0,2701.0,871.2091615581458,0.4481366169599976,3.787401195400956
88,88,2246.278819263631,2218.0,1681.0,2702.0,870.3653186552107,0.44236418022970964,3.7684332304450963
89,89,2253.0703960501064,2227.0,1686.0,2711.0,870.6168163236191,0.4354573148042607,3.748124931219889
90,90,2267.3897819651106,2243.0,1699.0,2728.0,872.5853755647498,0.42876669305613097,3.740213487536281
91,91,2265.902163955294,2245.0,1698.0,2726.0,868.8793265133651,0.4198424597904121,3.721556385258662
92,92,2257.911990472425,2239.0,1693.0,2718.0,863.6204728325332,0.4118048205535758,3.7043063843345263
93,93,2262.525087030733,2246.0,1696.0,2724.0,863.2594004088223,0.40408320808288284,3.6825548387397777
94,94,2266.715151544374,2252.0,1699.0,2730.0,863.3249434982006,0.3988732802882108,3.661819840494922
95,95,2257.774328709396,2244.0,1693.0,2721.0,857.2721853443601,0.39824300940366336,3.6471062662299656
96,96,2249.329594985535,2236.0,1690.0,2711.0,845.5692460312617,0.3952027813135029,3.645536887887212
97,97,2246.2167791706847,2238.0,1696.0,2701.0,832.9991090036126,0.38106764473093174,3.644901388173036
98,98,2238.254363548698,2235.0,1692.0,2688.0,826.9201614916893,0.3683308474118049,3.6319720668330175
99,99,2231.8226470588233,2231.0,1685.0,2683.0,827.4018333584193,0.3612718663918566,3.613127885843231
100,100,2224.7556111649524,2226.0,1675.0,2677.0,827.2429448162728,0.34962975678716246,3.5837329465870726
101,101,2236.9017068466733,2244.0,1682.0,2692.0,834.0903372277378,0.33678400269898423,3.561007734497139
102,102,2253.4625576786775,2261.0,1692.0,2715.0,844.1506434856889,0.3311853008079577,3.5428204583534026
